BFS_NR;2023
21;
131;13
241;392
1;718
2;549
211;533
291;743
30;
51;26
81;537
111;1853
52;329
297;1286
171;
22;360
23;259
242;554
3;315
82;119
213;548
112;1283
24;1033
83;172
53;316
25;0
214;555
84;180
85;36
215;102
86;63
243;231
54;59
216;789
26;126
191;302
113;926
192;1192
55;354
294;1404
217;
218;181
219;348
56;597
151;0
193;77
172;826
27;0
114;1387
28;472
29;0
57;596
244;0
58;699
115;1644
194;108
116;789
220;754
4;1429
5;333
31;16
152;590
221;285
117;2041
132;
173;1115
59;526
222;
153;1289
295;2114
133;
60;340
32;
61;118
134;
87;218
296;1687
174;
6;985
135;41
33;260
62;572
7;686
154;394
175;
136;380
34;147
176;1042
63;46
155;51
35;406
8;554
195;1411
156;858
9;1593
196;534
88;599
223;918
89;223
90;748
91;426
64;396
65;737
245;0
92;71
137;0
36;
93;214
10;510
246;232
157;543
66;59
37;1327
94;421
11;129
177;1103
224;122
67;347
95;93
96;733
38;90
138;835
225;1204
12;510
68;134
97;175
139;61
178;882
118;677
226;788
98;174
247;214
99;101
140;
197;77
119;361
227;281
100;1624
158;256
13;606
292;1655
101;268
179;
39;497
141;75
40;529
41;436
228;1618
159;146
248;207
249;50
42;
250;157
198;1203
43;179
199;791
293;3995
142;
120;2299
69;74
44;
200;430
70;122
102;113
251;76
180;1118
14;57
121;1053
298;1682
71;395
181;630
182;908
72;241
230;1402
231;878
161;0
160;0
261;466
